block,route,run,status,start_to_first_token_seconds,health_request_to_first_token_seconds,message_write_seconds,model,image_bytes,preparation_seconds,save_seconds,rss_bytes,reserved_vram,idle_host_rss_bytes,idle_gpu_bytes,sample_interval_ms,observed_peak_gpu_bytes,observed_peak_rss_bytes,reuse_claim
1,fresh,timing/b1-fresh,passed,58.560475115,0.068830574,"[0.000591853, 0.000676644]",Qwen/Qwen3-8B,0,57.982762069,,921198592,16385048576,0,0,100,16801333248,17298321408,
1,disk,timing/b1-disk,passed,119.70199257,0.068973365,"[0.000662205, 0.000638274]",Qwen/Qwen3-8B,17839591686,24.978618486,168.431820562,1492217856,16418603008,0,0,100,16801333248,18272841728,allocation_enabled_by_release
2,disk,timing/b2-disk,passed,119.55563934,0.068675298,"[0.000633464, 0.000643714]",Qwen/Qwen3-8B,17839436103,25.491069605,153.478496602,1491034112,16418603008,0,0,100,16801333248,18271657984,allocation_enabled_by_release
2,fresh,timing/b2-fresh,passed,56.656736792,0.069001477,"[0.000569853, 0.000729305]",Qwen/Qwen3-8B,0,56.277104187,,921346048,16385048576,0,0,100,16801333248,17297784832,
3,fresh,timing/b3-fresh,passed,54.274229663,0.075021226,"[0.000579403, 0.000591642]",Qwen/Qwen3-8B,0,53.893450809,,921432064,16385048576,0,0,100,16801333248,17278873600,
3,disk,timing/b3-disk,passed,119.840699221,0.074504288,"[0.000747276, 0.000679025]",Qwen/Qwen3-8B,17839526155,22.51175762,152.310073347,1491849216,16418603008,0,0,100,16801333248,17925001216,allocation_enabled_by_release
