block,route,run,status,start_to_first_token_seconds,health_request_to_first_token_seconds,message_write_seconds,model,image_bytes,preparation_seconds,save_seconds,rss_bytes,reserved_vram,idle_host_rss_bytes,idle_gpu_bytes,sample_interval_ms,observed_peak_gpu_bytes,observed_peak_rss_bytes,reuse_claim
1,fresh,timing/b1-fresh,passed,131.109940937,0.073608388,"[0.004325024, 0.004657141]",Qwen/Qwen3-8B,0,130.531615282,,921702400,16385048576,0,0,100,16801333248,17299193856,
1,disk,timing/b1-disk,passed,401.234034263,0.073952258,"[0.002589986, 0.004318864]",Qwen/Qwen3-8B,17839444232,22.395536198,252.745600606,1491918848,16418603008,0,0,100,16801333248,18272673792,allocation_enabled_by_release
2,disk,timing/b2-disk,passed,401.136585091,0.071492891,"[0.003045485, 0.002811841]",Qwen/Qwen3-8B,17839456553,25.783257561,246.832065854,1490382848,16418603008,0,0,100,16801333248,18271399936,allocation_enabled_by_release
2,fresh,timing/b2-fresh,passed,132.220703265,0.077655797,"[0.002517125, 0.004332424]",Qwen/Qwen3-8B,0,131.837972804,,921448448,16385048576,0,0,100,16801333248,17296150528,
3,fresh,timing/b3-fresh,passed,129.460806246,0.071884474,"[0.002480134, 0.003102827]",Qwen/Qwen3-8B,0,129.08282164,,921853952,16385048576,0,0,100,16801333248,17290121216,
3,disk,timing/b3-disk,passed,401.385484677,0.078017657,"[0.00423302, 0.002943913]",Qwen/Qwen3-8B,17839415596,22.486262526,221.417640373,1491685376,16418603008,0,0,100,16801333248,17924968448,allocation_enabled_by_release
