block,route,run,status,start_to_first_token_seconds,health_request_to_first_token_seconds,message_write_seconds,model,image_bytes,preparation_seconds,save_seconds,rss_bytes,reserved_vram,idle_host_rss_bytes,idle_gpu_bytes,sample_interval_ms,observed_peak_gpu_bytes,observed_peak_rss_bytes,reuse_claim
1,fresh,timing/b1-fresh,passed,57.662068651,0.063526455,"[0.000526811, 0.000683854]",Qwen/Qwen3-8B,0,57.086073722,,921276416,16385048576,0,0,100,16801333248,17297547264,
1,disk,timing/b1-disk,passed,164.09834998,0.069802727,"[0.000696536, 0.000647914]",Qwen/Qwen3-8B,17839472857,22.546501896,159.863663149,1492185088,16418603008,0,0,100,16801333248,18273071104,allocation_enabled_by_release
2,disk,timing/b2-disk,passed,164.074102291,0.068626018,"[0.000691674, 0.000601693]",Qwen/Qwen3-8B,17839382872,25.78101983,158.339432238,1490919424,16418603008,0,0,100,16801333248,18271805440,allocation_enabled_by_release
2,fresh,timing/b2-fresh,passed,57.118229361,0.069642126,"[0.000532022, 0.000753417]",Qwen/Qwen3-8B,0,56.740404762,,921587712,16385048576,0,0,100,16801333248,17295867904,
3,fresh,timing/b3-fresh,passed,54.287785058,0.064223841,"[0.000588103, 0.000657614]",Qwen/Qwen3-8B,0,53.911104282,,921468928,16385048576,0,0,100,16801333248,17280540672,
3,disk,timing/b3-disk,passed,164.231408314,0.069043614,"[0.000651584, 0.000752137]",Qwen/Qwen3-8B,17839325585,22.333261723,150.170823138,1491533824,16418603008,0,0,100,16801333248,17923375104,allocation_enabled_by_release
